row_id,order_id,order_date,ship_date,ship_mode,customer_id,segment,postal_code,product_id,sale,quantity,discount,profit
1,CA-2022-152156,2022-11-08,2022-11-11,"second class",CG-12520,consumer,42420,FUR-BO-10001798,261.96,2,0,41.91
2,CA-2022-152156,2022-11-08,2022-11-11,"second class",CG-12520,consumer,42420,FUR-CH-10000454,731.94,3,0,219.58
3,CA-2022-138688,2022-06-12,2022-06-16,"second class",DV-13045,corporate,90036,OFF-LA-10000240,14.62,2,0,6.87
4,US-2021-108966,2021-10-11,2021-10-18,"standard class",SO-20335,consumer,33311,FUR-TA-10000577,957.58,5,0.45,-383.03
5,US-2021-108966,2021-10-11,2021-10-18,"standard class",SO-20335,consumer,33311,OFF-ST-10000760,22.37,2,0.2,2.52
6,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,FUR-FU-10001487,48.86,7,0,14.17
7,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,OFF-AR-10002833,7.28,4,0,1.97
8,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,TEC-PH-10002275,907.15,6,0.2,90.72
9,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,OFF-BI-10003910,18.5,3,0.2,5.78
10,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,OFF-AP-10002892,114.9,5,0,34.47
11,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,FUR-TA-10001539,1706.18,9,0.2,85.31
12,CA-2020-115812,2020-06-09,2020-06-14,"standard class",BH-11710,consumer,90032,TEC-PH-10002033,911.42,4,0.2,68.36
13,CA-2023-114412,2023-04-15,2023-04-20,"standard class",AA-10480,consumer,28027,OFF-PA-10002365,15.55,3,0.2,5.44
14,CA-2022-161389,2022-12-05,2022-12-10,"standard class",IM-15070,consumer,98103,OFF-BI-10003656,407.98,3,0.2,132.59
15,US-2021-118983,2021-11-22,2021-11-26,"standard class",HP-14815,"home office",76106,OFF-AP-10002311,68.81,5,0.8,-123.86
16,US-2021-118983,2021-11-22,2021-11-26,"standard class",HP-14815,"home office",76106,OFF-BI-10000756,2.54,3,0.8,-3.82
17,CA-2020-105893,2020-11-11,2020-11-18,"standard class",PK-19075,consumer,53711,OFF-ST-10004186,665.88,6,0,13.32
18,CA-2020-167164,2020-05-13,2020-05-15,"second class",AG-10270,consumer,84084,OFF-ST-10000107,55.5,2,0,9.99
19,CA-2020-143336,2020-08-27,2020-09-01,"second class",ZD-21925,consumer,94109,OFF-AR-10003056,8.56,2,0,2.48
20,CA-2020-143336,2020-08-27,2020-09-01,"second class",ZD-21925,consumer,94109,TEC-PH-10001949,213.48,3,0.2,16.01
21,CA-2020-143336,2020-08-27,2020-09-01,"second class",ZD-21925,consumer,94109,OFF-BI-10002215,22.72,4,0.2,7.38
22,CA-2022-137330,2022-12-09,2022-12-13,"standard class",KB-16585,corporate,68025,OFF-AR-10000246,19.46,7,0,5.06
23,CA-2022-137330,2022-12-09,2022-12-13,"standard class",KB-16585,corporate,68025,OFF-AP-10001492,60.34,7,0,15.69
24,US-2023-156909,2023-07-16,2023-07-18,"second class",SF-20065,consumer,19140,FUR-CH-10002774,71.37,2,0.3,-1.02
25,CA-2021-106320,2021-09-25,2021-09-30,"standard class",EB-13870,consumer,84057,FUR-TA-10000577,1044.63,3,0,240.26
26,CA-2022-121755,2022-01-16,2022-01-20,"second class",EH-13945,consumer,90049,OFF-BI-10001634,11.65,2,0.2,4.22
27,CA-2022-121755,2022-01-16,2022-01-20,"second class",EH-13945,consumer,90049,TEC-AC-10003027,90.57,3,0,11.77
28,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,FUR-BO-10004834,3083.43,7,0.5,-1665.05
29,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,OFF-BI-10000474,9.62,2,0.7,-7.05
30,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,FUR-FU-10004848,124.2,3,0.2,15.52
31,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,OFF-EN-10001509,3.26,2,0.2,1.1
32,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,OFF-AR-10004042,86.3,6,0.2,9.71
33,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,OFF-BI-10001525,6.86,6,0.7,-5.72
34,US-2021-150630,2021-09-17,2021-09-21,"standard class",TB-21520,consumer,19140,OFF-AR-10001683,15.76,2,0.2,3.55
35,CA-2023-107727,2023-10-19,2023-10-23,"second class",MA-17560,"home office",77095,OFF-PA-10000249,29.47,3,0.2,9.95
36,CA-2022-117590,2022-12-08,2022-12-10,"first class",GH-14485,corporate,75080,TEC-PH-10004977,1097.54,7,0.2,123.47
37,CA-2022-117590,2022-12-08,2022-12-10,"first class",GH-14485,corporate,75080,FUR-FU-10003664,190.92,5,0.6,-147.96
38,CA-2021-117415,2021-12-27,2021-12-31,"standard class",SN-20710,"home office",77041,OFF-EN-10002986,113.33,9,0.2,35.42
39,CA-2021-117415,2021-12-27,2021-12-31,"standard class",SN-20710,"home office",77041,FUR-BO-10002545,532.4,3,0.32,-46.98
40,CA-2021-117415,2021-12-27,2021-12-31,"standard class",SN-20710,"home office",77041,FUR-CH-10004218,212.06,3,0.3,-15.15
41,CA-2021-117415,2021-12-27,2021-12-31,"standard class",SN-20710,"home office",77041,TEC-PH-10000486,371.17,4,0.2,41.76
42,CA-2023-120999,2023-09-10,2023-09-15,"standard class",LC-16930,corporate,60540,TEC-PH-10004093,147.17,4,0.2,16.56
43,CA-2022-101343,2022-07-17,2022-07-22,"standard class",RA-19885,corporate,90049,OFF-ST-10003479,77.88,2,0,3.89
44,CA-2023-139619,2023-09-19,2023-09-23,"standard class",ES-14080,corporate,32935,OFF-ST-10003282,95.62,2,0.2,9.56
45,CA-2022-118255,2022-03-11,2022-03-13,"first class",ON-18715,corporate,55122,TEC-AC-10000171,45.98,2,0,19.77
46,CA-2022-118255,2022-03-11,2022-03-13,"first class",ON-18715,corporate,55122,OFF-BI-10003291,17.46,2,0,8.21
47,CA-2020-146703,2020-10-20,2020-10-25,"second class",PO-18865,consumer,48185,OFF-ST-10001713,211.96,4,0,8.48
48,CA-2022-169194,2022-06-20,2022-06-25,"standard class",LH-16900,consumer,19901,TEC-AC-10002167,45,3,0,4.95
49,CA-2022-169194,2022-06-20,2022-06-25,"standard class",LH-16900,consumer,19901,TEC-PH-10003988,21.8,2,0,6.1
50,CA-2021-115742,2021-04-18,2021-04-22,"standard class",DP-13000,consumer,47150,OFF-BI-10004410,38.22,6,0,17.96
51,CA-2021-115742,2021-04-18,2021-04-22,"standard class",DP-13000,consumer,47150,OFF-LA-10002762,75.18,6,0,35.33
52,CA-2021-115742,2021-04-18,2021-04-22,"standard class",DP-13000,consumer,47150,FUR-FU-10001706,6.16,2,0,2.96
53,CA-2021-115742,2021-04-18,2021-04-22,"standard class",DP-13000,consumer,47150,FUR-CH-10003061,89.99,1,0,17.1
54,CA-2022-105816,2022-12-11,2022-12-17,"standard class",JM-15265,corporate,10024,OFF-FA-10000304,15.26,7,0,6.26
55,CA-2022-105816,2022-12-11,2022-12-17,"standard class",JM-15265,corporate,10024,TEC-PH-10002447,1029.95,5,0,298.69
56,CA-2022-111682,2022-06-17,2022-06-18,"first class",TB-21055,consumer,12180,OFF-ST-10000604,208.56,6,0,52.14
57,CA-2022-111682,2022-06-17,2022-06-18,"first class",TB-21055,consumer,12180,OFF-PA-10001569,32.4,5,0,15.55
